City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Mount Gambier,AU,-37.8333,140.7667,49.24,95,79,2.75,broken clouds
167,Glens Falls,US,43.3095,-73.644,68.22,81,15,3.0,few clouds
168,Umtata,ZA,-31.5889,28.7844,52.36,40,0,12.66,clear sky
169,Manokwari,ID,-0.8667,134.0833,81.05,76,94,3.31,overcast clouds
170,Laguna,US,38.421,-121.4238,66.97,57,0,5.75,clear sky
171,Requena,ES,39.4883,-1.1004,79.52,20,89,6.6,overcast clouds
172,Cherskiy,RU,68.75,161.3,56.39,28,11,10.56,few clouds
173,Sinjai,ID,-5.1241,120.253,79.88,86,84,2.17,broken clouds
174,Vaitape,PF,-16.5167,-151.75,80.49,74,10,15.99,light rain
175,Volnovakha,UA,47.601,37.4967,71.13,37,23,9.6,few clouds
176,Mitchell,US,43.7094,-98.0298,64.11,57,1,3.0,clear sky
177,Jishu,CN,44.3167,126.8,68.58,84,70,11.56,broken clouds
178,Kyren,RU,51.6828,102.1408,74.84,55,37,3.87,scattered clouds
179,Puerto Carreno,CO,6.189,-67.4859,71.65,95,24,2.55,few clouds
180,Korla,CN,41.7597,86.1469,101.91,7,100,16.42,overcast clouds
181,Paamiut,GL,61.994,-49.6678,37.33,76,16,8.19,few clouds
182,Nouadhibou,MR,20.931,-17.0347,67.98,88,7,18.41,clear sky
183,Progreso,MX,21.2833,-89.6667,76.1,94,4,7.27,clear sky
184,Lysyanka,UA,49.2523,30.8295,70.11,44,26,6.42,scattered clouds
185,Caborca,MX,30.5838,-111.101,81.3,23,1,2.64,clear sky
186,Hobyo,SO,5.3505,48.5268,85.44,65,100,23.8,overcast clouds
187,Burlington,US,39.8835,-74.6413,68.83,76,75,1.01,broken clouds
188,Tecolutilla,MX,18.2833,-93.3167,77.13,82,72,8.16,broken clouds
189,Tessalit,ML,20.1986,1.0114,92.77,24,33,10.27,scattered clouds
190,Sribne,UA,50.6638,32.9187,67.98,54,36,7.72,scattered clouds
191,San Juan,AR,-31.5375,-68.5364,43.63,47,0,4.79,clear sky
192,Bundaberg,AU,-24.85,152.35,63.21,94,14,2.24,few clouds
193,Bubaque,GW,11.2833,-15.8333,79.9,84,60,17.2,broken clouds
194,Itoman,JP,26.1247,127.6694,77.4,94,75,6.91,light rain
195,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,12.66,scattered clouds
196,Faanui,PF,-16.4833,-151.75,80.49,73,10,16.13,light rain
197,Kudahuvadhoo,MV,2.6708,72.8944,83.48,71,88,11.52,overcast clouds
198,Namibe,AO,-15.1961,12.1522,72.55,51,3,5.19,clear sky
199,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,9.22,broken clouds
200,Bambous Virieux,MU,-20.3428,57.7575,79.05,65,40,19.57,scattered clouds
201,Puro,PH,12.4841,123.3827,87.96,62,26,6.31,scattered clouds
202,Shestakovo,RU,56.4915,103.96,83.25,39,91,6.55,overcast clouds
203,Asau,RO,46.4333,26.4,69.28,45,11,3.27,few clouds
204,Aktash,RU,50.3,87.7333,57.81,38,74,7.05,broken clouds
205,Bridlington,GB,54.0831,-0.1919,69.3,76,67,1.83,broken clouds
206,Jizan,SA,17.3333,42.6667,95.94,44,100,16.96,overcast clouds
207,Husavik,IS,66.0449,-17.3389,51.03,62,71,5.75,broken clouds
208,Gao,ML,16.6362,1.637,91.2,33,97,13.22,light rain
209,Butaritari,KI,3.0707,172.7902,82.36,73,20,13.02,few clouds
210,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,76,40,16.11,scattered clouds
211,Ojinaga,MX,29.5667,-104.4167,85.41,51,0,5.75,clear sky
212,North Myrtle Beach,US,33.816,-78.68,79.05,86,11,6.69,few clouds
213,Yenagoa,NG,4.9247,6.2642,79.38,85,100,4.59,moderate rain
214,Enumclaw,US,47.2043,-121.9915,53.56,94,99,1.01,overcast clouds
215,San Andres,CO,12.5847,-81.7006,80.62,83,75,9.22,broken clouds
216,Shahabad,IN,27.65,79.95,110.88,18,32,4.9,scattered clouds
217,Musafirkhana,IN,26.3667,81.8,100.38,34,68,18.79,broken clouds
218,San Fernando,PH,15.0286,120.6898,94.73,49,80,4.92,broken clouds
219,Smithers,CA,54.7804,-127.1743,53.92,71,75,2.3,broken clouds
220,Bambanglipuro,ID,-7.95,110.2833,82.6,76,86,4.54,light rain
221,Terrace,CA,54.5163,-128.6035,58.91,58,75,3.44,broken clouds
222,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,56,8.01,broken clouds
223,Beya,RU,53.0533,90.9139,71.92,46,76,17.07,broken clouds
224,Santa Cruz,BO,-17.8,-63.1667,62.06,88,0,11.5,clear sky
225,Sanica,BA,44.6142,16.6411,82.11,39,5,3.11,clear sky
226,Mar Del Plata,AR,-38.0023,-57.5575,49.08,91,100,5.99,mist
227,Hami,CN,42.8,93.45,103.71,8,81,10.87,broken clouds
228,Liverpool,GB,53.4106,-2.9779,70.29,61,0,3.44,clear sky
229,Souillac,MU,-20.5167,57.5167,79.18,65,40,19.57,scattered clouds
230,Kasongo-Lunda,CD,-6.4667,16.8167,86.43,36,5,2.3,clear sky
231,Juba,SS,4.8517,31.5825,90.61,42,11,4.05,few clouds
232,Dongsheng,CN,39.8161,109.9776,91.76,11,39,10.94,scattered clouds
233,Berlevag,NO,70.8578,29.0864,40.95,81,75,12.66,broken clouds
234,Sampit,ID,-2.5333,112.95,79.0,93,96,2.33,overcast clouds
235,Raudeberg,NO,61.9875,5.1352,51.96,92,100,14.72,overcast clouds
236,Acapulco,MX,16.8634,-99.8901,76.8,89,100,12.93,overcast clouds
237,Talara,PE,-4.5772,-81.2719,62.89,80,0,18.28,clear sky
238,San Cristobal,VE,7.7669,-72.225,62.46,93,43,2.77,scattered clouds
239,Shenjiamen,CN,29.9576,122.298,74.19,88,100,12.55,overcast clouds
240,Te Anau,NZ,-45.4167,167.7167,42.28,91,60,1.32,broken clouds
241,Leningradskiy,RU,69.3833,178.4167,35.82,85,100,7.23,overcast clouds
242,Miles City,US,46.4083,-105.8406,53.51,78,2,11.05,clear sky
243,Umm Lajj,SA,25.0213,37.2685,86.56,64,0,12.53,clear sky
244,Balykshi,KZ,47.0667,51.8667,89.6,20,0,20.13,clear sky
245,Itarema,BR,-2.9248,-39.9167,71.4,88,71,8.48,broken clouds
246,Taltal,CL,-25.4,-70.4833,52.48,83,47,1.16,scattered clouds
247,Gat,IL,31.61,34.7642,91.4,32,0,14.16,clear sky
248,Xiuyan,CN,40.2928,123.2744,73.81,69,59,11.32,broken clouds
249,Geraldton,AU,-28.7667,114.6,70.21,73,74,9.22,broken clouds
250,Seymchan,RU,62.8833,152.4333,63.52,49,77,2.8,broken clouds
251,Kindu,CD,-2.95,25.95,91.17,44,4,1.34,clear sky
252,Tashtyp,RU,52.7939,89.8983,69.24,54,32,15.66,scattered clouds
253,Codrington,AU,-38.2667,141.9667,55.44,74,98,8.08,overcast clouds
254,Stuttgart,DE,48.7823,9.177,81.77,55,0,3.44,clear sky
255,Kupino,RU,54.3663,77.2981,69.21,54,59,15.12,light rain
256,Havoysund,NO,70.9963,24.6622,39.43,78,96,15.43,overcast clouds
257,Price,US,39.5994,-110.8107,61.12,21,0,5.59,clear sky
258,Rancho Palos Verdes,US,33.7445,-118.387,67.46,91,27,4.0,scattered clouds
259,Beringovskiy,RU,63.05,179.3167,42.4,80,50,11.41,scattered clouds
260,Manicore,BR,-5.8092,-61.3003,69.75,100,75,0.0,broken clouds
261,Provideniya,RU,64.3833,-173.3,40.51,98,100,14.9,light rain
262,Canico,PT,32.6333,-16.85,73.71,78,40,3.44,scattered clouds
263,Sinnamary,GF,5.3833,-52.95,75.69,84,25,3.47,scattered clouds
264,Salinopolis,BR,-0.6136,-47.3561,74.46,87,92,7.2,overcast clouds
265,Ixtapa,MX,20.7,-105.2,76.23,92,100,1.99,overcast clouds
266,Kalemie,CD,-5.9475,29.1947,80.22,57,14,10.94,few clouds
267,Novikovo,RU,51.1537,37.8879,68.94,52,60,8.23,broken clouds
268,Kavaratti,IN,10.5669,72.642,82.08,73,98,19.64,light rain
269,Rafsanjan,IR,30.4067,55.9939,97.99,8,0,6.6,clear sky
270,Cozumel,MX,20.5083,-86.9458,74.95,93,2,8.68,clear sky
271,Macamic,CA,48.7502,-78.9996,62.76,98,100,13.67,overcast clouds
272,Noblesville,US,40.0456,-86.0086,82.58,76,94,1.99,overcast clouds
273,Sambava,MG,-14.2667,50.1667,78.3,65,7,10.67,clear sky
274,Esperance,AU,-33.8667,121.9,63.75,59,0,6.31,clear sky
275,Hithadhoo,MV,-0.6,73.0833,83.05,69,100,7.47,overcast clouds
276,Kavieng,PG,-2.5744,150.7967,81.01,79,52,8.79,light rain
277,Karratha,AU,-20.7377,116.8463,79.63,37,35,10.33,scattered clouds
278,Fare,PF,-16.7,-151.0167,80.04,74,1,17.27,clear sky
279,Jasper,US,37.2001,-94.3502,80.24,77,100,7.7,overcast clouds
280,Hellvik,NO,59.9156,5.781,58.77,86,87,5.01,overcast clouds
281,Tiksi,RU,71.6872,128.8694,35.2,74,36,7.9,scattered clouds
282,Korocha,RU,50.8107,37.1953,70.52,59,33,9.17,scattered clouds
283,Krasnoselkup,RU,65.7,82.4667,72.91,52,99,7.92,light rain
284,Ola,RU,59.5833,151.2833,48.15,88,100,4.94,overcast clouds
285,West Bay,KY,19.3667,-81.4167,81.0,84,74,3.0,broken clouds
286,Leshukonskoye,RU,64.8989,45.7622,67.37,48,98,7.94,overcast clouds
287,Cidreira,BR,-30.1811,-50.2056,56.48,86,30,5.06,scattered clouds
288,Chokurdakh,RU,70.6333,147.9167,66.22,35,57,12.35,broken clouds
289,San Quintin,MX,30.4833,-115.95,60.08,88,0,2.35,clear sky
290,Rio Grande,BR,-32.035,-52.0986,52.56,85,30,5.46,scattered clouds
291,Saint Anthony,US,45.0205,-93.218,67.86,69,0,9.22,clear sky
292,Yei,SS,4.095,30.6779,86.94,45,26,5.21,light rain
293,Teguldet,RU,57.3064,88.1667,66.06,74,96,9.73,light rain
294,Issoudun,FR,47.0,1.8333,80.29,44,0,10.36,clear sky
